repeat,layer,AUROC,Accuracy,F1
7,20,0.45499999999999996,0.45999999999999996,0.4440229326398237
7,21,0.48550000000000004,0.45,0.45095948125473156
7,22,0.5075000000000001,0.495,0.4967561121049493
7,23,0.537,0.48999999999999994,0.4721582712280387
7,24,0.526,0.5,0.473456736088315
8,0,0.54,0.54,0.3618296030466416
8,1,0.4325,0.475,0.46524002313476
8,2,0.414,0.46499999999999997,0.4363755542702911
8,3,0.45550000000000007,0.475,0.4671461329997916
8,4,0.41500000000000004,0.45,0.42501903068520974
8,5,0.5065000000000001,0.525,0.5263736263736264
8,6,0.46799999999999997,0.495,0.5119207548081776
8,7,0.475,0.495,0.47444163880620877
8,8,0.46449999999999997,0.49000000000000005,0.4923601687144691
8,9,0.4965,0.55,0.5695932474655033
8,10,0.488,0.48,0.5038570618264322
8,11,0.46900000000000003,0.45999999999999996,0.46460645046010896
8,12,0.493,0.505,0.48899715949780126
8,13,0.515,0.5,0.49032756716967246
8,14,0.5215000000000001,0.5199999999999999,0.5330327666913033
8,15,0.495,0.5199999999999999,0.5248663250254438
8,16,0.538,0.495,0.5059245361684386
8,17,0.5205,0.515,0.5420731707317074
8,18,0.5740000000000001,0.55,0.5790208248926343
8,19,0.568,0.575,0.608076902167198
8,20,0.554,0.5599999999999999,0.582644673498332
8,21,0.5279999999999999,0.51,0.5094726919809245
8,22,0.5029999999999999,0.505,0.515665960594214
8,23,0.4879999999999999,0.505,0.5157368316438085
8,24,0.4845,0.49000000000000005,0.5065615086667717
9,0,0.5199999999999999,0.5199999999999999,0.3408535270604236
9,1,0.602,0.5900000000000001,0.5476900876900876
9,2,0.6154999999999999,0.5800000000000001,0.5658006316973319
9,3,0.5755000000000001,0.5700000000000001,0.5468582592802672
9,4,0.5529999999999999,0.55,0.5374603174603175
9,5,0.6020000000000001,0.55,0.5500228529640294
9,6,0.5625,0.5349999999999999,0.5356229984136961
9,7,0.5865,0.565,0.580038542670382
9,8,0.577,0.55,0.5846084538767465
9,9,0.52,0.5349999999999999,0.5517073170731707
9,10,0.5489999999999999,0.5250000000000001,0.5090517989105923
9,11,0.5975,0.5599999999999999,0.5396799691536533
9,12,0.5805,0.575,0.5781556455240665
9,13,0.591,0.565,0.5600315986965538
9,14,0.5814999999999999,0.57,0.5582379782379783
9,15,0.5954999999999999,0.59,0.5675603675603675
9,16,0.601,0.615,0.5951898978214768
9,17,0.6004999999999999,0.57,0.5504720525516418
9,18,0.6330000000000001,0.595,0.5654827628511839
9,19,0.587,0.575,0.5532438635391139
9,20,0.541,0.5050000000000001,0.48263607737291947
9,21,0.5805,0.57,0.5762573199158565
9,22,0.5505000000000001,0.5599999999999999,0.5775127311712678
9,23,0.55,0.5599999999999999,0.5672612090022605
9,24,0.5419999999999999,0.535,0.5442864850354944
