split,layer,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
source_id_group5,16,3,pkck_0005,190,47,22,0.9527272727272728,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,16,4,pkck_0001,190,47,24,1.0,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,17,0,pkck_0000,189,48,27,0.9700176366843033,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,17,1,pkck_0004,189,48,28,0.9910714285714286,0.9583333333333334,0.9642857142857143,0.9642857142857143,0.9642857142857143
source_id_group5,17,2,pkck_0002,190,47,25,0.9781818181818182,0.9361702127659575,0.9230769230769231,0.96,0.9411764705882353
source_id_group5,17,3,pkck_0005,190,47,22,0.9545454545454546,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,17,4,pkck_0001,190,47,24,0.996376811594203,0.9361702127659575,1.0,0.875,0.9333333333333333
source_id_group5,18,0,pkck_0000,189,48,27,0.9717813051146384,0.9166666666666666,1.0,0.8518518518518519,0.92
source_id_group5,18,1,pkck_0004,189,48,28,0.9946428571428572,0.9166666666666666,0.9,0.9642857142857143,0.9310344827586207
source_id_group5,18,2,pkck_0002,190,47,25,0.9854545454545455,0.9148936170212766,0.92,0.92,0.92
source_id_group5,18,3,pkck_0005,190,47,22,0.9618181818181819,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,18,4,pkck_0001,190,47,24,0.9981884057971014,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,19,0,pkck_0000,189,48,27,0.9788359788359788,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,19,1,pkck_0004,189,48,28,0.9964285714285714,0.9583333333333334,0.9642857142857143,0.9642857142857143,0.9642857142857143
source_id_group5,19,2,pkck_0002,190,47,25,0.9872727272727272,0.9148936170212766,0.8888888888888888,0.96,0.9230769230769231
source_id_group5,19,3,pkck_0005,190,47,22,0.9563636363636363,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,19,4,pkck_0001,190,47,24,0.9981884057971014,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
source_id_group5,20,0,pkck_0000,189,48,27,0.9876543209876544,0.9583333333333334,1.0,0.9259259259259259,0.9615384615384616
source_id_group5,20,1,pkck_0004,189,48,28,0.9964285714285714,0.9583333333333334,0.9642857142857143,0.9642857142857143,0.9642857142857143
source_id_group5,20,2,pkck_0002,190,47,25,0.9854545454545454,0.9148936170212766,0.92,0.92,0.92
source_id_group5,20,3,pkck_0005,190,47,22,0.9545454545454546,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,20,4,pkck_0001,190,47,24,1.0,0.9574468085106383,1.0,0.9166666666666666,0.9565217391304348
source_id_group5,21,0,pkck_0000,189,48,27,0.9894179894179893,0.9583333333333334,1.0,0.9259259259259259,0.9615384615384616
source_id_group5,21,1,pkck_0004,189,48,28,1.0,0.9583333333333334,0.9333333333333333,1.0,0.9655172413793104
source_id_group5,21,2,pkck_0002,190,47,25,0.9872727272727273,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,21,3,pkck_0005,190,47,22,0.9818181818181819,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,21,4,pkck_0001,190,47,24,0.996376811594203,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,22,0,pkck_0000,189,48,27,0.9947089947089947,0.9375,0.9615384615384616,0.9259259259259259,0.9433962264150944
source_id_group5,22,1,pkck_0004,189,48,28,1.0,0.9791666666666666,0.9655172413793104,1.0,0.9824561403508771
source_id_group5,22,2,pkck_0002,190,47,25,0.9818181818181818,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,22,3,pkck_0005,190,47,22,0.9763636363636363,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,22,4,pkck_0001,190,47,24,0.9981884057971014,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,23,0,pkck_0000,189,48,27,0.9947089947089947,0.9375,0.9615384615384616,0.9259259259259259,0.9433962264150944
source_id_group5,23,1,pkck_0004,189,48,28,0.9910714285714286,0.9375,0.9310344827586207,0.9642857142857143,0.9473684210526315
source_id_group5,23,2,pkck_0002,190,47,25,0.9781818181818182,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,23,3,pkck_0005,190,47,22,0.9745454545454546,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,23,4,pkck_0001,190,47,24,0.996376811594203,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,24,0,pkck_0000,189,48,27,0.9929453262786596,0.9375,0.9615384615384616,0.9259259259259259,0.9433962264150944
source_id_group5,24,1,pkck_0004,189,48,28,0.9964285714285714,0.9583333333333334,0.9642857142857143,0.9642857142857143,0.9642857142857143
source_id_group5,24,2,pkck_0002,190,47,25,0.9818181818181817,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
